P(r-rand <= r-data),0.310,0.850,0.190,0.130,0.720,0.990,0.500,0.840,0.490,0.340,0.720,0.600,0.080,0.600,0.600,0.290,0.230,0.630,0.410,0.220,0.900,0.600,0.440,0.840,0.300,0.020,0.330,0.960,0.200,0.930,0.300,0.160,0.870,0.260,0.590,0.060,0.610
Correction,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
r uc,-0.033,0.015,-0.041,-0.043,-0.006,0.034,-0.017,0.006,-0.020,-0.026,-0.005,-0.011,-0.048,-0.010,-0.013,-0.029,-0.040,-0.012,-0.022,-0.034,0.015,-0.008,-0.027,0.012,-0.038,-0.100,-0.043,0.051,-0.049,0.038,-0.061,-0.061,0.039,-0.047,-0.002,-0.167,-0.001
U uc,0.038,0.049,0.036,0.021,0.014,0.032,0.010,0.024,0.005,0.022,0.021,0.017,0.022,0.020,0.017,0.020,0.046,0.024,0.034,0.029,0.029,0.028,0.037,0.046,0.047,0.049,0.067,0.056,0.059,0.043,0.081,0.063,0.075,0.066,0.076,0.158,0.129
L uc,-0.074,-0.070,-0.072,-0.068,-0.057,-0.059,-0.053,-0.061,-0.058,-0.052,-0.051,-0.043,-0.052,-0.061,-0.055,-0.061,-0.098,-0.063,-0.078,-0.065,-0.067,-0.076,-0.090,-0.073,-0.092,-0.096,-0.106,-0.105,-0.087,-0.095,-0.152,-0.114,-0.108,-0.096,-0.119,-0.208,-0.214
Mean Bootstrap r,-0.012,0.038,-0.018,-0.025,0.016,0.051,-0.004,0.025,-0.004,-0.009,0.010,0.005,-0.035,0.011,0.004,-0.012,-0.023,0.005,-0.007,-0.014,0.030,0.012,-0.005,0.019,-0.023,-0.081,-0.028,0.065,-0.037,0.055,-0.057,-0.056,0.058,-0.030,0.018,,
Ur error,0.065,0.091,0.042,0.047,0.048,0.041,0.010,0.032,0.036,0.034,0.033,0.042,0.027,0.046,0.032,0.046,0.045,0.046,0.034,0.040,0.070,0.054,0.088,0.081,0.058,0.049,0.082,0.047,0.066,0.076,0.098,0.017,0.063,0.092,0.089,,
Lr error,0.078,0.057,0.049,0.030,0.042,0.048,0.016,0.042,0.042,0.044,0.037,0.045,0.041,0.039,0.043,0.044,0.048,0.046,0.041,0.042,0.064,0.060,0.087,0.097,0.069,0.043,0.082,0.067,0.076,0.072,0.172,0.043,0.062,0.091,0.075,,
Ur,0.050,0.124,0.018,0.021,0.060,0.091,0.010,0.054,0.033,0.025,0.045,0.048,-0.004,0.053,0.035,0.034,0.022,0.051,0.029,0.023,0.102,0.064,0.078,0.110,0.036,-0.034,0.055,0.114,0.033,0.131,0.054,-0.027,0.119,0.062,0.104,,
Lr,-0.094,-0.024,-0.073,-0.057,-0.031,0.002,-0.017,-0.019,-0.045,-0.054,-0.025,-0.039,-0.072,-0.031,-0.039,-0.056,-0.071,-0.041,-0.047,-0.059,-0.033,-0.051,-0.098,-0.068,-0.091,-0.126,-0.108,0.001,-0.109,-0.017,-0.216,-0.087,-0.006,-0.121,-0.059,,
Intercept,5.150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
