,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,21,12,16,20,25,25,28,38,37,44,35,32,56,40,52,25,39,58,46,55,36,58,44,36,42,27,40,33,56,39,42,33,19,18,28,30,23,27,24,38,20,19,28,21,17,8,21,7,20,11,11,12,8,9,7,11,22,3,14,9,4,5,2,14,11,7,10,8,9,4,4
Distance Class (End Point),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
r,-0.070,0.077,0.006,0.055,-0.008,-0.039,-0.030,-0.023,0.039,-0.012,0.042,0.059,-0.008,0.010,0.024,0.020,-0.015,0.004,-0.033,0.011,0.007,0.015,0.002,0.010,-0.025,-0.041,0.028,-0.019,0.007,-0.002,-0.019,-0.004,0.001,-0.047,-0.014,0.022,0.023,-0.030,-0.023,-0.013,0.026,0.038,-0.002,0.023,-0.034,0.039,0.066,-0.083,-0.036,0.005,-0.057,-0.102,-0.068,0.011,0.083,0.058,-0.026,-0.078,0.049,0.066,-0.180,0.061,-0.089,-0.039,0.027,0.100,0.030,-0.095,0.046,-0.050,-0.150
U,0.071,0.089,0.079,0.077,0.066,0.063,0.073,0.049,0.061,0.050,0.058,0.063,0.048,0.061,0.049,0.067,0.050,0.045,0.051,0.059,0.061,0.044,0.044,0.053,0.055,0.080,0.053,0.068,0.045,0.045,0.056,0.045,0.075,0.079,0.061,0.053,0.066,0.062,0.055,0.050,0.079,0.091,0.062,0.082,0.094,0.132,0.087,0.147,0.072,0.104,0.135,0.118,0.113,0.121,0.119,0.086,0.067,0.188,0.081,0.098,0.164,0.142,0.326,0.072,0.090,0.160,0.117,0.128,0.121,0.235,0.160
L,-0.085,-0.105,-0.105,-0.081,-0.081,-0.077,-0.070,-0.057,-0.072,-0.048,-0.072,-0.062,-0.053,-0.061,-0.062,-0.070,-0.064,-0.037,-0.064,-0.045,-0.061,-0.040,-0.053,-0.051,-0.055,-0.069,-0.056,-0.056,-0.050,-0.052,-0.050,-0.077,-0.074,-0.086,-0.077,-0.075,-0.062,-0.057,-0.072,-0.057,-0.090,-0.083,-0.079,-0.082,-0.086,-0.106,-0.070,-0.139,-0.084,-0.099,-0.100,-0.105,-0.123,-0.155,-0.154,-0.122,-0.088,-0.175,-0.096,-0.134,-0.195,-0.164,-0.241,-0.109,-0.109,-0.126,-0.110,-0.110,-0.128,-0.158,-0.203
P(r-rand >= r-data),0.960,0.070,0.370,0.070,0.570,0.850,0.800,0.770,0.130,0.720,0.070,0.050,0.640,0.310,0.180,0.270,0.720,0.500,0.920,0.400,0.330,0.260,0.460,0.410,0.840,0.890,0.180,0.740,0.370,0.510,0.780,0.520,0.470,0.890,0.670,0.230,0.330,0.820,0.640,0.600,0.330,0.180,0.440,0.320,0.840,0.320,0.060,0.870,0.760,0.380,0.850,0.970,0.860,0.510,0.090,0.140,0.640,0.810,0.170,0.170,0.970,0.150,0.790,0.750,0.290,0.080,0.270,0.980,0.280,0.670,0.940
P(r-rand <= r-data),0.050,0.940,0.640,0.940,0.440,0.160,0.210,0.240,0.880,0.290,0.940,0.960,0.370,0.700,0.830,0.740,0.290,0.510,0.090,0.610,0.680,0.750,0.550,0.600,0.170,0.120,0.830,0.270,0.640,0.500,0.230,0.490,0.540,0.120,0.340,0.780,0.680,0.190,0.370,0.410,0.680,0.830,0.570,0.690,0.170,0.690,0.950,0.140,0.250,0.630,0.160,0.040,0.150,0.500,0.920,0.870,0.370,0.200,0.840,0.840,0.040,0.860,0.220,0.260,0.720,0.930,0.740,0.030,0.730,0.340,0.070
Correction,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
r uc,-0.087,0.060,-0.011,0.038,-0.025,-0.056,-0.047,-0.040,0.022,-0.029,0.025,0.042,-0.025,-0.007,0.007,0.003,-0.032,-0.013,-0.049,-0.006,-0.010,-0.002,-0.015,-0.007,-0.042,-0.057,0.011,-0.035,-0.010,-0.019,-0.036,-0.021,-0.016,-0.064,-0.031,0.005,0.006,-0.046,-0.040,-0.030,0.009,0.021,-0.019,0.006,-0.051,0.022,0.049,-0.099,-0.053,-0.012,-0.074,-0.119,-0.085,-0.006,0.066,0.041,-0.043,-0.095,0.032,0.049,-0.197,0.044,-0.106,-0.056,0.010,0.083,0.013,-0.112,0.029,-0.067,-0.167
U uc,0.054,0.072,0.062,0.060,0.049,0.046,0.057,0.032,0.044,0.033,0.041,0.046,0.032,0.044,0.032,0.050,0.033,0.028,0.034,0.042,0.044,0.027,0.027,0.036,0.038,0.063,0.036,0.051,0.028,0.028,0.039,0.028,0.058,0.062,0.044,0.036,0.049,0.045,0.038,0.033,0.062,0.074,0.045,0.065,0.077,0.115,0.070,0.130,0.055,0.087,0.118,0.101,0.096,0.105,0.102,0.069,0.051,0.171,0.064,0.081,0.147,0.125,0.309,0.055,0.073,0.143,0.100,0.111,0.104,0.218,0.143
L uc,-0.101,-0.122,-0.122,-0.098,-0.098,-0.094,-0.087,-0.074,-0.089,-0.065,-0.089,-0.079,-0.070,-0.078,-0.079,-0.087,-0.081,-0.054,-0.081,-0.062,-0.078,-0.057,-0.070,-0.068,-0.072,-0.086,-0.073,-0.073,-0.067,-0.069,-0.067,-0.094,-0.091,-0.103,-0.094,-0.092,-0.079,-0.074,-0.089,-0.074,-0.107,-0.100,-0.096,-0.099,-0.103,-0.123,-0.087,-0.156,-0.101,-0.116,-0.117,-0.122,-0.140,-0.172,-0.170,-0.139,-0.105,-0.192,-0.113,-0.151,-0.212,-0.180,-0.258,-0.126,-0.126,-0.143,-0.127,-0.127,-0.145,-0.175,-0.220
Mean Bootstrap r,-0.069,0.082,0.020,0.058,-0.009,-0.039,-0.031,-0.026,0.036,-0.011,0.044,0.069,-0.012,0.018,0.032,0.018,-0.019,0.006,-0.037,0.009,0.010,0.017,0.005,0.010,-0.026,-0.044,0.023,-0.019,-0.004,-0.000,-0.023,-0.002,0.001,-0.046,-0.009,0.020,0.023,-0.033,-0.017,-0.008,0.025,0.034,-0.001,0.022,-0.030,0.039,0.072,-0.085,-0.037,0.004,-0.057,-0.100,-0.080,0.011,0.077,0.056,-0.021,,0.048,0.076,,,,-0.037,0.025,0.097,0.031,-0.082,0.048,,
Ur error,0.080,0.087,0.095,0.107,0.057,0.063,0.047,0.034,0.072,0.046,0.048,0.066,0.038,0.087,0.051,0.057,0.065,0.041,0.070,0.035,0.078,0.049,0.057,0.094,0.046,0.049,0.056,0.063,0.033,0.052,0.056,0.066,0.082,0.060,0.060,0.057,0.063,0.046,0.061,0.047,0.099,0.077,0.068,0.063,0.121,0.136,0.096,0.089,0.068,0.087,0.099,0.047,0.053,0.149,0.051,0.065,0.088,,0.090,0.107,,,,0.046,0.065,0.097,0.090,0.116,0.079,,
Lr error,0.074,0.090,0.056,0.095,0.069,0.051,0.054,0.041,0.070,0.045,0.052,0.025,0.058,0.055,0.047,0.080,0.067,0.045,0.067,0.059,0.050,0.042,0.050,0.063,0.054,0.062,0.085,0.069,0.068,0.062,0.056,0.069,0.083,0.061,0.062,0.085,0.069,0.061,0.071,0.049,0.097,0.082,0.081,0.071,0.124,0.115,0.081,0.133,0.060,0.123,0.090,0.042,0.107,0.157,0.072,0.088,0.072,,0.075,0.106,,,,0.060,0.071,0.096,0.105,0.134,0.089,,
Ur,0.010,0.165,0.100,0.162,0.050,0.024,0.017,0.010,0.111,0.034,0.090,0.125,0.031,0.097,0.075,0.078,0.050,0.045,0.037,0.047,0.085,0.064,0.058,0.104,0.022,0.009,0.084,0.044,0.040,0.050,0.037,0.062,0.083,0.013,0.046,0.079,0.086,0.016,0.038,0.035,0.125,0.115,0.066,0.085,0.086,0.175,0.162,0.006,0.032,0.092,0.041,-0.055,-0.015,0.160,0.134,0.123,0.061,,0.138,0.173,,,,0.007,0.092,0.197,0.119,0.021,0.125,,
Lr,-0.143,-0.012,-0.050,-0.039,-0.077,-0.090,-0.084,-0.065,-0.030,-0.057,-0.009,0.034,-0.066,-0.045,-0.023,-0.060,-0.082,-0.041,-0.099,-0.047,-0.044,-0.026,-0.048,-0.053,-0.079,-0.102,-0.057,-0.087,-0.060,-0.064,-0.075,-0.073,-0.082,-0.108,-0.076,-0.063,-0.046,-0.090,-0.094,-0.062,-0.071,-0.044,-0.083,-0.048,-0.158,-0.076,-0.015,-0.216,-0.096,-0.117,-0.148,-0.144,-0.175,-0.146,0.011,-0.030,-0.098,,-0.026,-0.040,,,,-0.099,-0.044,0.004,-0.075,-0.230,-0.043,,
Intercept,4.879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
