L,-0.061,-0.073,-0.041,-0.039,-0.036,-0.030,-0.030,-0.026,-0.021,-0.021,-0.029,-0.032,-0.041,-0.027,-0.029,-0.038,-0.033,-0.030,-0.036,-0.047,-0.042,-0.040,-0.042,-0.047,-0.041,-0.051,-0.042,-0.049,-0.054,-0.053,-0.072,-0.058,-0.065,-0.075,-0.087,-0.084,-0.069,-0.085,-0.101,-0.213,-0.129,-0.175,-0.164,-0.294
P(r-rand >= r-data),0.010,0.550,0.760,0.290,0.970,0.140,0.890,0.040,0.950,0.530,0.190,0.910,0.690,0.410,0.830,0.210,0.230,0.480,0.280,0.420,0.310,0.540,0.700,0.960,0.600,0.960,0.180,0.310,0.660,0.360,0.950,0.420,0.450,0.010,0.020,0.840,0.790,0.340,0.260,0.900,0.280,0.590,0.910,0.230
P(r-rand <= r-data),1.000,0.460,0.250,0.720,0.040,0.870,0.120,0.970,0.060,0.480,0.820,0.100,0.320,0.600,0.180,0.800,0.780,0.530,0.730,0.590,0.700,0.470,0.310,0.050,0.410,0.050,0.830,0.700,0.350,0.650,0.060,0.590,0.560,1.000,0.990,0.170,0.220,0.670,0.750,0.110,0.730,0.420,0.100,0.780
Correction,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
r uc,0.060,-0.023,-0.029,-0.004,-0.047,-0.001,-0.033,0.010,-0.031,-0.012,-0.001,-0.035,-0.021,-0.013,-0.031,-0.003,-0.000,-0.012,-0.006,-0.009,-0.002,-0.016,-0.028,-0.051,-0.016,-0.054,0.006,-0.001,-0.030,-0.007,-0.070,-0.011,-0.010,0.078,0.073,-0.049,-0.044,0.006,0.009,-0.157,0.024,-0.028,-0.098,0.121
U uc,0.030,0.059,0.044,0.017,0.013,0.013,0.017,0.012,0.011,0.008,0.016,0.012,0.019,0.009,0.016,0.014,0.017,0.028,0.015,0.026,0.027,0.020,0.025,0.021,0.029,0.027,0.035,0.038,0.024,0.035,0.039,0.043,0.048,0.062,0.062,0.077,0.069,0.086,0.072,0.166,0.086,0.201,0.142,0.291
L uc,-0.075,-0.087,-0.055,-0.053,-0.050,-0.044,-0.044,-0.040,-0.035,-0.035,-0.043,-0.046,-0.055,-0.041,-0.043,-0.052,-0.047,-0.044,-0.050,-0.061,-0.056,-0.054,-0.056,-0.061,-0.055,-0.065,-0.056,-0.063,-0.068,-0.067,-0.086,-0.072,-0.079,-0.089,-0.101,-0.098,-0.084,-0.099,-0.115,-0.227,-0.143,-0.189,-0.178,-0.308
Mean Bootstrap r,0.074,-0.004,-0.014,0.010,-0.031,0.011,-0.017,0.024,-0.019,0.002,0.012,-0.021,-0.007,0.000,-0.018,0.015,0.020,0.001,0.008,0.007,0.013,-0.003,-0.017,-0.036,-0.002,-0.046,0.017,0.013,-0.017,0.010,-0.058,0.002,0.007,0.091,0.085,-0.031,-0.033,0.020,0.027,,0.035,,,
Ur error,0.087,0.081,0.051,0.038,0.036,0.032,0.032,0.026,0.017,0.030,0.030,0.027,0.036,0.021,0.030,0.031,0.045,0.041,0.029,0.027,0.039,0.039,0.038,0.039,0.045,0.044,0.039,0.037,0.053,0.060,0.048,0.051,0.062,0.074,0.052,0.074,0.069,0.075,0.092,,0.077,,,
Lr error,0.077,0.076,0.053,0.040,0.025,0.030,0.036,0.027,0.027,0.029,0.035,0.035,0.037,0.029,0.027,0.023,0.023,0.040,0.031,0.035,0.037,0.042,0.050,0.037,0.045,0.059,0.045,0.046,0.070,0.048,0.047,0.048,0.058,0.070,0.072,0.080,0.078,0.097,0.071,,0.075,,,
Ur,0.161,0.072,0.036,0.049,0.003,0.045,0.014,0.051,0.000,0.032,0.043,0.006,0.029,0.022,0.013,0.042,0.059,0.043,0.038,0.032,0.050,0.036,0.024,0.003,0.044,0.004,0.059,0.050,0.037,0.067,-0.007,0.054,0.065,0.166,0.139,0.039,0.039,0.096,0.115,,0.115,,,
Lr,-0.003,-0.085,-0.067,-0.029,-0.058,-0.017,-0.054,-0.003,-0.044,-0.027,-0.022,-0.056,-0.044,-0.028,-0.044,-0.011,-0.010,-0.039,-0.023,-0.030,-0.025,-0.044,-0.064,-0.074,-0.047,-0.099,-0.025,-0.032,-0.086,-0.041,-0.103,-0.044,-0.055,0.022,0.014,-0.115,-0.107,-0.077,-0.048,,-0.037,,,
Intercept,3.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
