,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,33,1,19,14,43,36,44,43,32,35,67,46,61,62,31,63,43,70,39,69,68,58,46,38,58,41,42,29,47,39,57,41,25,47,27,46,24,44,37,35,31,18,43,20,18,42,19,38,27,27,35,15,29,18,15,17,14,31,28,11,22,18,16,14,19,17,14,18,11,16,16,6,21,10,13,21,7,22,7,1,24,15,8,11,1,13,5,11,3,5,13,9
Distance Class (End Point),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
r,-0.002,-0.099,-0.022,0.048,0.052,0.048,-0.004,0.049,-0.028,0.013,-0.007,0.076,0.024,0.030,-0.034,-0.023,-0.030,-0.048,0.060,0.006,0.031,0.013,0.038,-0.030,-0.023,-0.013,0.033,-0.040,0.019,-0.043,0.013,0.023,-0.003,0.002,0.017,0.019,0.010,0.016,0.031,-0.030,0.031,-0.011,0.016,-0.025,0.007,0.030,-0.057,-0.038,0.005,0.004,-0.018,-0.063,-0.008,-0.047,0.078,-0.033,-0.013,0.016,-0.034,-0.089,-0.023,0.015,0.017,-0.092,0.002,0.014,0.038,-0.042,-0.050,-0.081,-0.032,-0.097,-0.037,-0.006,-0.002,-0.059,-0.118,0.040,-0.001,-0.189,-0.034,-0.020,-0.045,-0.000,0.084,-0.022,0.024,0.059,-0.210,0.069,-0.010,-0.011
U,0.071,0.322,0.069,0.084,0.051,0.069,0.050,0.052,0.066,0.042,0.033,0.056,0.053,0.043,0.043,0.038,0.047,0.041,0.052,0.034,0.038,0.040,0.054,0.051,0.041,0.056,0.051,0.060,0.050,0.059,0.046,0.057,0.062,0.044,0.052,0.046,0.072,0.042,0.060,0.054,0.070,0.083,0.054,0.079,0.082,0.079,0.079,0.057,0.062,0.063,0.056,0.095,0.055,0.078,0.076,0.088,0.110,0.055,0.064,0.119,0.069,0.088,0.075,0.082,0.082,0.078,0.100,0.081,0.093,0.093,0.104,0.209,0.072,0.104,0.084,0.070,0.180,0.074,0.137,0.367,0.074,0.083,0.146,0.103,0.317,0.086,0.168,0.121,0.241,0.143,0.115,0.108
L,-0.082,-0.320,-0.099,-0.079,-0.046,-0.064,-0.058,-0.066,-0.072,-0.063,-0.046,-0.048,-0.037,-0.046,-0.076,-0.054,-0.057,-0.048,-0.056,-0.050,-0.037,-0.041,-0.043,-0.068,-0.039,-0.051,-0.047,-0.075,-0.060,-0.062,-0.041,-0.067,-0.060,-0.064,-0.058,-0.050,-0.062,-0.044,-0.074,-0.064,-0.051,-0.081,-0.065,-0.076,-0.066,-0.068,-0.069,-0.050,-0.062,-0.060,-0.066,-0.087,-0.062,-0.093,-0.078,-0.087,-0.068,-0.064,-0.079,-0.113,-0.071,-0.087,-0.087,-0.093,-0.073,-0.103,-0.096,-0.068,-0.101,-0.102,-0.083,-0.136,-0.089,-0.082,-0.113,-0.085,-0.133,-0.084,-0.123,-0.382,-0.073,-0.084,-0.127,-0.087,-0.410,-0.091,-0.173,-0.114,-0.205,-0.172,-0.094,-0.154
P(r-rand >= r-data),0.450,0.660,0.630,0.260,0.030,0.060,0.480,0.080,0.840,0.270,0.650,0.010,0.160,0.110,0.860,0.850,0.890,0.980,0.020,0.360,0.070,0.350,0.070,0.810,0.850,0.700,0.150,0.940,0.250,0.910,0.340,0.200,0.460,0.490,0.300,0.210,0.410,0.360,0.180,0.820,0.210,0.630,0.290,0.760,0.540,0.160,0.950,0.910,0.400,0.530,0.730,0.940,0.620,0.820,0.020,0.810,0.610,0.330,0.840,0.970,0.700,0.330,0.320,0.980,0.490,0.350,0.320,0.930,0.820,0.970,0.800,0.900,0.820,0.600,0.500,0.930,0.970,0.110,0.400,0.880,0.780,0.690,0.800,0.580,0.310,0.600,0.460,0.180,0.990,0.250,0.560,0.600
P(r-rand <= r-data),0.560,0.360,0.380,0.750,0.980,0.950,0.530,0.930,0.170,0.740,0.360,1.000,0.850,0.900,0.150,0.160,0.120,0.030,0.990,0.650,0.940,0.660,0.940,0.200,0.160,0.310,0.860,0.070,0.760,0.100,0.670,0.810,0.550,0.520,0.710,0.800,0.600,0.650,0.830,0.190,0.800,0.380,0.720,0.250,0.470,0.850,0.060,0.100,0.610,0.480,0.280,0.070,0.390,0.190,0.990,0.200,0.400,0.680,0.170,0.040,0.310,0.680,0.690,0.030,0.520,0.660,0.690,0.080,0.190,0.040,0.210,0.110,0.190,0.410,0.510,0.080,0.040,0.900,0.610,0.130,0.230,0.320,0.210,0.430,0.700,0.410,0.550,0.830,0.020,0.760,0.450,0.410
Correction,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
r uc,-0.016,-0.113,-0.036,0.034,0.038,0.035,-0.018,0.035,-0.042,-0.001,-0.021,0.062,0.010,0.016,-0.048,-0.037,-0.044,-0.062,0.046,-0.008,0.017,-0.001,0.024,-0.044,-0.037,-0.027,0.019,-0.053,0.005,-0.057,-0.001,0.009,-0.016,-0.012,0.003,0.005,-0.003,0.003,0.017,-0.044,0.017,-0.025,0.002,-0.039,-0.007,0.016,-0.071,-0.052,-0.009,-0.010,-0.032,-0.077,-0.022,-0.061,0.064,-0.047,-0.027,0.003,-0.048,-0.102,-0.037,0.001,0.003,-0.106,-0.012,0.000,0.024,-0.056,-0.063,-0.095,-0.046,-0.110,-0.051,-0.020,-0.016,-0.073,-0.132,0.026,-0.015,-0.203,-0.048,-0.034,-0.059,-0.014,0.070,-0.036,0.010,0.045,-0.224,0.055,-0.024,-0.025
U uc,0.057,0.308,0.055,0.070,0.037,0.055,0.036,0.039,0.052,0.028,0.019,0.042,0.039,0.029,0.029,0.024,0.033,0.027,0.039,0.020,0.024,0.027,0.040,0.037,0.027,0.043,0.037,0.046,0.036,0.046,0.032,0.043,0.048,0.030,0.039,0.032,0.058,0.029,0.046,0.040,0.057,0.069,0.041,0.065,0.068,0.065,0.065,0.043,0.048,0.049,0.043,0.081,0.041,0.065,0.062,0.074,0.096,0.041,0.050,0.105,0.055,0.074,0.061,0.068,0.068,0.065,0.087,0.067,0.079,0.079,0.090,0.195,0.058,0.090,0.070,0.056,0.166,0.060,0.123,0.353,0.060,0.069,0.132,0.089,0.303,0.072,0.154,0.107,0.227,0.129,0.101,0.094
L uc,-0.096,-0.334,-0.113,-0.093,-0.060,-0.078,-0.072,-0.079,-0.085,-0.077,-0.060,-0.061,-0.051,-0.060,-0.090,-0.068,-0.071,-0.062,-0.070,-0.064,-0.050,-0.055,-0.056,-0.082,-0.052,-0.065,-0.061,-0.089,-0.074,-0.075,-0.055,-0.081,-0.074,-0.078,-0.072,-0.064,-0.076,-0.058,-0.088,-0.078,-0.065,-0.095,-0.079,-0.090,-0.080,-0.082,-0.083,-0.063,-0.076,-0.074,-0.080,-0.101,-0.076,-0.107,-0.092,-0.101,-0.082,-0.078,-0.093,-0.127,-0.085,-0.101,-0.101,-0.107,-0.087,-0.116,-0.110,-0.082,-0.115,-0.115,-0.097,-0.150,-0.103,-0.096,-0.127,-0.099,-0.147,-0.098,-0.137,-0.395,-0.087,-0.098,-0.141,-0.101,-0.424,-0.105,-0.187,-0.128,-0.219,-0.186,-0.108,-0.168
Mean Bootstrap r,-0.002,,-0.018,0.040,0.051,0.051,-0.002,0.048,-0.029,0.019,-0.004,0.075,0.022,0.032,-0.029,-0.021,-0.031,-0.050,0.060,0.007,0.031,0.011,0.034,-0.031,-0.023,-0.017,0.036,-0.037,0.020,-0.043,0.012,0.022,-0.002,0.005,0.013,0.020,0.012,0.017,0.029,-0.029,0.030,-0.012,0.016,-0.023,0.005,0.024,-0.051,-0.040,0.001,0.000,-0.018,-0.058,-0.006,-0.048,0.084,-0.031,-0.010,0.017,-0.034,-0.094,-0.021,0.011,0.007,-0.091,0.007,0.016,0.037,-0.039,-0.053,-0.083,-0.025,-0.093,-0.036,-0.006,-0.001,-0.067,-0.116,0.042,0.001,,-0.036,-0.018,-0.064,-0.005,,-0.029,,0.064,,,-0.015,-0.008
Ur error,0.060,,0.134,0.088,0.057,0.080,0.056,0.054,0.044,0.054,0.046,0.062,0.054,0.046,0.068,0.043,0.057,0.032,0.036,0.043,0.036,0.040,0.042,0.060,0.046,0.042,0.056,0.061,0.059,0.045,0.038,0.042,0.062,0.044,0.054,0.060,0.068,0.055,0.044,0.059,0.098,0.132,0.043,0.085,0.057,0.047,0.075,0.066,0.060,0.076,0.056,0.091,0.059,0.065,0.116,0.075,0.081,0.053,0.057,0.088,0.080,0.089,0.041,0.070,0.099,0.088,0.060,0.075,0.068,0.042,0.082,0.115,0.067,0.127,0.088,0.060,0.103,0.079,0.138,,0.039,0.056,0.071,0.061,,0.065,,0.099,,,0.063,0.123
Lr error,0.053,,0.119,0.113,0.074,0.072,0.063,0.062,0.068,0.041,0.036,0.068,0.054,0.051,0.053,0.048,0.050,0.036,0.052,0.038,0.038,0.049,0.058,0.055,0.036,0.058,0.056,0.052,0.065,0.057,0.062,0.048,0.062,0.035,0.079,0.058,0.088,0.044,0.046,0.064,0.085,0.087,0.057,0.081,0.099,0.068,0.072,0.065,0.078,0.086,0.043,0.093,0.059,0.063,0.089,0.073,0.067,0.049,0.057,0.105,0.075,0.113,0.068,0.076,0.071,0.076,0.071,0.061,0.058,0.095,0.028,0.136,0.075,0.102,0.087,0.093,0.069,0.076,0.108,,0.049,0.049,0.163,0.098,,0.080,,0.094,,,0.072,0.116
Ur,0.058,,0.112,0.136,0.108,0.129,0.053,0.103,0.016,0.068,0.039,0.137,0.078,0.076,0.034,0.020,0.027,-0.016,0.095,0.049,0.066,0.053,0.080,0.030,0.023,0.029,0.089,0.021,0.078,0.002,0.050,0.065,0.059,0.046,0.071,0.079,0.078,0.072,0.075,0.029,0.129,0.120,0.060,0.060,0.063,0.077,0.018,0.028,0.065,0.080,0.037,0.028,0.050,0.018,0.193,0.042,0.068,0.069,0.023,-0.001,0.057,0.104,0.058,-0.023,0.100,0.102,0.097,0.034,0.019,-0.038,0.050,0.019,0.031,0.120,0.086,0.001,-0.016,0.120,0.137,,0.005,0.036,0.026,0.060,,0.043,,0.158,,,0.053,0.111
Lr,-0.055,,-0.141,-0.066,-0.022,-0.024,-0.066,-0.012,-0.096,-0.028,-0.044,0.008,-0.030,-0.021,-0.087,-0.071,-0.080,-0.085,0.007,-0.032,-0.007,-0.037,-0.020,-0.085,-0.059,-0.071,-0.023,-0.092,-0.046,-0.100,-0.049,-0.025,-0.064,-0.033,-0.062,-0.039,-0.078,-0.028,-0.015,-0.094,-0.054,-0.098,-0.040,-0.106,-0.092,-0.038,-0.129,-0.103,-0.073,-0.082,-0.062,-0.156,-0.067,-0.110,-0.011,-0.107,-0.080,-0.032,-0.091,-0.193,-0.097,-0.099,-0.051,-0.168,-0.070,-0.062,-0.034,-0.103,-0.107,-0.175,-0.060,-0.233,-0.112,-0.109,-0.089,-0.153,-0.188,-0.036,-0.109,,-0.083,-0.069,-0.207,-0.098,,-0.102,,-0.035,,,-0.082,-0.127
Intercept,6.929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
