U,0.066,0.058,0.038,0.038,0.042,0.034,0.025,0.037,0.039,0.033,0.029,0.041,0.028,0.042,0.040,0.036,0.039,0.050,0.038,0.037,0.055,0.038,0.051,0.040,0.045,0.042,0.041,0.063,0.057,0.045,0.041,0.069,0.081,0.059,0.083,0.089,0.061,0.056,0.064,0.100,0.055,0.073,0.081,0.094,0.117,0.062,0.316,0.063,0.490
L,-0.074,-0.060,-0.046,-0.032,-0.040,-0.028,-0.037,-0.032,-0.035,-0.027,-0.027,-0.039,-0.035,-0.055,-0.046,-0.037,-0.041,-0.045,-0.046,-0.040,-0.054,-0.044,-0.051,-0.040,-0.039,-0.060,-0.048,-0.048,-0.054,-0.045,-0.066,-0.055,-0.052,-0.056,-0.075,-0.081,-0.066,-0.058,-0.075,-0.140,-0.063,-0.090,-0.082,-0.074,-0.134,-0.076,-0.372,-0.071,-0.325
P(r-rand >= r-data),0.580,0.410,0.010,0.170,0.650,0.110,0.030,0.950,1.000,0.100,0.070,0.440,0.840,0.420,0.640,0.170,0.490,0.160,0.280,0.450,0.280,0.490,0.180,1.000,0.420,0.880,0.800,0.300,0.350,0.990,0.540,0.840,0.400,0.570,0.970,0.880,0.780,0.840,0.530,0.680,0.850,0.660,0.680,0.130,0.700,0.610,0.220,0.650,0.520
P(r-rand <= r-data),0.430,0.600,1.000,0.840,0.360,0.900,0.980,0.060,0.010,0.910,0.940,0.570,0.170,0.590,0.370,0.840,0.520,0.850,0.730,0.560,0.730,0.520,0.830,0.010,0.590,0.130,0.210,0.710,0.660,0.020,0.470,0.170,0.610,0.440,0.040,0.130,0.230,0.170,0.480,0.330,0.160,0.350,0.330,0.880,0.310,0.400,0.790,0.360,0.490
Correction,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
r uc,-0.020,-0.003,0.036,0.009,-0.021,0.011,0.013,-0.040,-0.055,0.012,0.009,-0.010,-0.033,-0.012,-0.023,0.003,-0.013,0.005,0.000,-0.010,0.001,-0.012,0.009,-0.058,-0.010,-0.046,-0.037,0.001,-0.007,-0.063,-0.021,-0.050,-0.007,-0.023,-0.084,-0.061,-0.040,-0.051,-0.013,-0.044,-0.043,-0.031,-0.030,0.036,-0.045,-0.024,0.093,-0.028,0.012
U uc,0.052,0.044,0.024,0.024,0.028,0.020,0.012,0.023,0.025,0.019,0.015,0.027,0.014,0.028,0.026,0.022,0.025,0.037,0.024,0.023,0.041,0.024,0.038,0.027,0.031,0.028,0.027,0.049,0.043,0.031,0.027,0.055,0.067,0.045,0.069,0.075,0.047,0.043,0.050,0.087,0.041,0.059,0.067,0.080,0.103,0.048,0.303,0.049,0.476
L uc,-0.088,-0.074,-0.060,-0.046,-0.054,-0.042,-0.050,-0.046,-0.049,-0.040,-0.041,-0.053,-0.049,-0.069,-0.060,-0.051,-0.055,-0.059,-0.060,-0.054,-0.067,-0.058,-0.065,-0.054,-0.053,-0.074,-0.062,-0.062,-0.068,-0.059,-0.080,-0.069,-0.066,-0.070,-0.089,-0.095,-0.079,-0.072,-0.089,-0.153,-0.077,-0.104,-0.096,-0.088,-0.148,-0.090,-0.386,-0.085,-0.339
Mean Bootstrap r,-0.005,0.015,0.050,0.021,-0.007,0.022,0.031,-0.028,-0.044,0.026,0.024,0.005,-0.020,-0.001,-0.013,0.014,-0.001,0.014,0.011,0.007,0.014,-0.001,0.023,-0.040,0.005,-0.031,-0.026,0.015,0.011,-0.050,-0.005,-0.038,0.015,-0.015,-0.071,-0.048,-0.023,-0.034,0.003,-0.029,-0.027,-0.020,-0.010,0.044,-0.028,-0.012,,-0.011,
Ur error,0.059,0.079,0.043,0.049,0.034,0.038,0.039,0.043,0.034,0.031,0.025,0.049,0.032,0.047,0.043,0.031,0.043,0.041,0.039,0.036,0.058,0.036,0.043,0.044,0.055,0.050,0.041,0.037,0.040,0.045,0.032,0.049,0.056,0.040,0.038,0.075,0.055,0.062,0.077,0.154,0.034,0.054,0.085,0.076,0.281,0.065,,0.057,
Lr error,0.052,0.097,0.048,0.043,0.038,0.050,0.033,0.044,0.033,0.026,0.036,0.039,0.037,0.045,0.047,0.039,0.044,0.047,0.050,0.026,0.062,0.058,0.039,0.037,0.061,0.043,0.048,0.031,0.036,0.047,0.055,0.071,0.048,0.042,0.039,0.071,0.053,0.054,0.076,0.102,0.032,0.076,0.067,0.100,0.171,0.064,,0.062,
Ur,0.053,0.090,0.093,0.071,0.027,0.063,0.066,0.016,-0.007,0.057,0.048,0.053,0.013,0.050,0.033,0.048,0.044,0.059,0.053,0.040,0.073,0.038,0.066,0.000,0.059,0.018,0.018,0.052,0.047,-0.004,0.025,0.013,0.063,0.031,-0.032,0.028,0.029,0.026,0.078,0.124,0.005,0.037,0.069,0.126,0.249,0.055,,0.043,
Lr,-0.058,-0.086,0.002,-0.020,-0.045,-0.025,-0.006,-0.071,-0.074,-0.000,-0.014,-0.035,-0.056,-0.043,-0.057,-0.021,-0.043,-0.028,-0.036,-0.022,-0.047,-0.057,-0.015,-0.081,-0.056,-0.076,-0.071,-0.017,-0.029,-0.097,-0.062,-0.107,-0.041,-0.051,-0.109,-0.118,-0.079,-0.091,-0.075,-0.132,-0.061,-0.094,-0.083,-0.050,-0.202,-0.074,,-0.076,
Intercept,9.511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
