,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,17,0,6,5,25,10,34,34,48,27,25,31,58,34,53,37,55,37,46,39,37,49,65,34,37,45,25,38,28,29,39,28,23,25,18,20,19,26,23,17,24,19,22,12,33,23,18,30,15,28,19,23,31,19,25,7,35,14,15,17,20,19,20,24,16,19,17,14,17,25,12,14,19,13,9,20,16,16,9,15,11,4,5,10,7,6,4,5,5,6,1,4,1,1
Distance Class (End Point),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
r,0.470,0.016,-0.122,0.083,-0.020,0.088,0.055,0.015,-0.049,0.008,0.000,-0.012,0.015,0.001,0.003,0.147,0.063,-0.028,-0.043,0.032,-0.017,0.066,0.034,-0.019,-0.040,0.006,-0.022,0.061,-0.021,0.068,-0.024,-0.006,0.060,0.005,0.066,0.016,-0.051,-0.006,-0.022,-0.026,-0.015,-0.020,-0.080,0.003,0.000,0.049,-0.096,-0.083,0.051,0.005,-0.093,-0.055,0.091,-0.021,-0.072,-0.010,-0.088,-0.032,0.034,-0.009,-0.053,-0.052,-0.008,-0.045,-0.016,-0.091,-0.112,-0.086,-0.061,0.029,-0.042,-0.057,-0.017,-0.049,-0.132,0.110,-0.003,-0.035,-0.004,-0.110,0.014,0.012,0.062,-0.052,0.146,-0.027,-0.051,-0.142,-0.038,-0.099,-0.039,-0.075,0.299,0.077
U,0.088,0.016,0.121,0.174,0.066,0.109,0.071,0.072,0.054,0.091,0.079,0.082,0.058,0.063,0.048,0.069,0.062,0.051,0.057,0.050,0.054,0.068,0.042,0.064,0.070,0.065,0.093,0.059,0.067,0.088,0.061,0.071,0.082,0.074,0.113,0.077,0.079,0.074,0.071,0.110,0.083,0.105,0.110,0.116,0.072,0.072,0.086,0.071,0.098,0.064,0.081,0.078,0.070,0.088,0.083,0.149,0.068,0.105,0.111,0.085,0.078,0.070,0.102,0.065,0.091,0.096,0.093,0.115,0.111,0.083,0.112,0.119,0.092,0.127,0.142,0.093,0.074,0.096,0.163,0.092,0.105,0.234,0.229,0.124,0.181,0.146,0.193,0.198,0.191,0.180,0.501,0.212,0.592,0.376
L,-0.089,0.016,-0.131,-0.160,-0.074,-0.110,-0.069,-0.091,-0.062,-0.075,-0.069,-0.055,-0.047,-0.069,-0.051,-0.063,-0.049,-0.060,-0.062,-0.064,-0.069,-0.066,-0.043,-0.063,-0.061,-0.067,-0.076,-0.064,-0.070,-0.078,-0.064,-0.061,-0.085,-0.062,-0.089,-0.089,-0.094,-0.073,-0.100,-0.094,-0.100,-0.078,-0.097,-0.102,-0.054,-0.074,-0.094,-0.058,-0.086,-0.069,-0.092,-0.079,-0.076,-0.083,-0.069,-0.136,-0.079,-0.105,-0.089,-0.096,-0.083,-0.084,-0.080,-0.090,-0.116,-0.090,-0.102,-0.122,-0.076,-0.091,-0.096,-0.088,-0.102,-0.100,-0.138,-0.085,-0.098,-0.097,-0.113,-0.107,-0.115,-0.167,-0.152,-0.114,-0.162,-0.151,-0.182,-0.161,-0.184,-0.150,-0.328,-0.180,-0.336,-0.347
P(r-rand >= r-data),0.010,1.000,0.980,0.170,0.750,0.060,0.060,0.360,0.950,0.410,0.520,0.620,0.330,0.520,0.500,0.010,0.030,0.850,0.900,0.120,0.650,0.040,0.090,0.750,0.930,0.450,0.680,0.030,0.660,0.070,0.750,0.550,0.130,0.410,0.110,0.340,0.840,0.590,0.670,0.710,0.600,0.680,0.920,0.540,0.560,0.110,0.990,1.000,0.130,0.440,0.990,0.910,0.010,0.720,0.990,0.490,1.000,0.760,0.290,0.630,0.920,0.880,0.630,0.860,0.570,1.000,1.000,0.950,0.940,0.280,0.830,0.930,0.700,0.810,0.980,0.020,0.470,0.800,0.430,0.990,0.540,0.530,0.250,0.810,0.070,0.540,0.670,0.960,0.670,0.890,0.510,0.740,0.080,0.280
P(r-rand <= r-data),1.000,1.000,0.030,0.840,0.260,0.950,0.950,0.650,0.060,0.600,0.490,0.390,0.680,0.490,0.510,1.000,0.980,0.160,0.110,0.890,0.360,0.970,0.920,0.260,0.080,0.560,0.330,0.980,0.350,0.940,0.260,0.460,0.880,0.600,0.900,0.670,0.170,0.420,0.340,0.300,0.410,0.330,0.090,0.470,0.450,0.900,0.020,0.010,0.880,0.570,0.020,0.100,1.000,0.290,0.020,0.520,0.010,0.250,0.720,0.380,0.090,0.130,0.380,0.150,0.440,0.010,0.010,0.060,0.070,0.730,0.180,0.080,0.310,0.200,0.030,0.990,0.540,0.210,0.580,0.020,0.470,0.480,0.760,0.200,0.940,0.470,0.340,0.050,0.340,0.120,0.500,0.270,0.930,0.730
Correction,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016
r uc,0.455,0.000,-0.137,0.068,-0.036,0.072,0.040,-0.001,-0.065,-0.008,-0.015,-0.028,-0.000,-0.014,-0.012,0.131,0.048,-0.044,-0.059,0.017,-0.033,0.050,0.019,-0.035,-0.056,-0.010,-0.038,0.045,-0.037,0.052,-0.040,-0.022,0.044,-0.011,0.050,0.000,-0.067,-0.022,-0.038,-0.041,-0.031,-0.035,-0.096,-0.013,-0.015,0.033,-0.112,-0.099,0.035,-0.011,-0.109,-0.071,0.075,-0.036,-0.088,-0.026,-0.104,-0.048,0.018,-0.025,-0.069,-0.067,-0.024,-0.061,-0.032,-0.107,-0.127,-0.102,-0.077,0.014,-0.057,-0.072,-0.033,-0.064,-0.148,0.094,-0.019,-0.051,-0.019,-0.125,-0.002,-0.003,0.046,-0.068,0.131,-0.042,-0.066,-0.157,-0.053,-0.115,-0.055,-0.091,0.283,0.061
U uc,0.072,0.000,0.105,0.158,0.050,0.094,0.056,0.056,0.039,0.075,0.064,0.067,0.042,0.047,0.032,0.053,0.046,0.035,0.041,0.034,0.038,0.052,0.027,0.048,0.055,0.049,0.078,0.043,0.051,0.072,0.045,0.055,0.067,0.059,0.097,0.062,0.063,0.059,0.056,0.094,0.068,0.089,0.095,0.100,0.057,0.056,0.070,0.056,0.082,0.048,0.065,0.062,0.054,0.072,0.068,0.134,0.052,0.089,0.095,0.069,0.063,0.055,0.086,0.049,0.076,0.081,0.078,0.100,0.096,0.067,0.097,0.103,0.076,0.111,0.126,0.078,0.058,0.080,0.147,0.076,0.089,0.219,0.214,0.108,0.165,0.130,0.178,0.182,0.175,0.164,0.486,0.196,0.577,0.360
L uc,-0.104,0.000,-0.147,-0.176,-0.089,-0.126,-0.085,-0.107,-0.077,-0.090,-0.084,-0.071,-0.063,-0.085,-0.067,-0.078,-0.064,-0.075,-0.077,-0.080,-0.085,-0.082,-0.058,-0.079,-0.076,-0.082,-0.092,-0.080,-0.085,-0.094,-0.080,-0.077,-0.101,-0.077,-0.104,-0.105,-0.110,-0.089,-0.116,-0.110,-0.116,-0.094,-0.113,-0.117,-0.070,-0.090,-0.110,-0.074,-0.102,-0.085,-0.107,-0.094,-0.091,-0.099,-0.085,-0.151,-0.095,-0.120,-0.105,-0.112,-0.099,-0.100,-0.096,-0.106,-0.132,-0.105,-0.117,-0.137,-0.092,-0.107,-0.111,-0.104,-0.118,-0.116,-0.154,-0.101,-0.114,-0.112,-0.128,-0.123,-0.131,-0.183,-0.168,-0.130,-0.177,-0.167,-0.198,-0.177,-0.200,-0.166,-0.344,-0.195,-0.352,-0.363
Mean Bootstrap r,0.465,,-0.122,,-0.022,0.085,0.063,0.016,-0.065,0.007,0.003,-0.009,0.018,0.004,0.001,0.149,0.061,-0.029,-0.045,0.037,-0.017,0.065,0.038,-0.013,-0.037,0.006,-0.020,0.065,-0.021,0.064,-0.025,-0.006,0.062,-0.002,0.068,0.023,-0.050,-0.005,-0.025,-0.026,-0.003,-0.017,-0.081,0.004,0.001,0.048,-0.098,-0.083,0.050,0.002,-0.087,-0.055,0.089,-0.019,-0.070,-0.001,-0.078,-0.034,0.027,-0.008,-0.052,-0.049,-0.007,-0.047,-0.020,-0.091,-0.114,-0.095,-0.053,0.026,-0.043,-0.051,-0.018,-0.046,-0.130,0.104,-0.020,-0.044,0.001,-0.109,0.022,,,-0.051,0.142,-0.026,,,,-0.101,,,,
Ur error,0.135,,0.028,,0.059,0.085,0.109,0.084,0.025,0.039,0.084,0.057,0.057,0.052,0.039,0.063,0.090,0.048,0.039,0.076,0.060,0.046,0.084,0.065,0.068,0.039,0.057,0.068,0.088,0.058,0.042,0.063,0.081,0.078,0.075,0.094,0.072,0.065,0.087,0.055,0.073,0.082,0.063,0.099,0.062,0.063,0.053,0.043,0.051,0.046,0.051,0.068,0.075,0.064,0.069,0.165,0.065,0.067,0.107,0.060,0.088,0.077,0.063,0.074,0.050,0.055,0.068,0.116,0.086,0.079,0.095,0.113,0.055,0.067,0.037,0.112,0.107,0.082,0.173,0.087,0.111,,,0.090,0.095,0.051,,,,0.044,,,,
Lr error,0.150,,0.026,,0.043,0.143,0.088,0.071,0.051,0.047,0.081,0.053,0.050,0.057,0.052,0.084,0.085,0.046,0.040,0.055,0.062,0.045,0.068,0.063,0.056,0.049,0.047,0.069,0.061,0.069,0.056,0.064,0.053,0.102,0.077,0.090,0.064,0.068,0.095,0.056,0.060,0.083,0.058,0.107,0.057,0.080,0.058,0.048,0.067,0.064,0.036,0.084,0.109,0.077,0.073,0.108,0.051,0.055,0.119,0.060,0.067,0.080,0.098,0.046,0.072,0.066,0.088,0.157,0.074,0.110,0.081,0.065,0.051,0.086,0.034,0.114,0.115,0.060,0.168,0.093,0.119,,,0.072,0.128,0.043,,,,0.060,,,,
Ur,0.605,,-0.094,,0.038,0.173,0.165,0.099,-0.025,0.046,0.084,0.045,0.072,0.053,0.042,0.210,0.154,0.020,-0.004,0.108,0.043,0.112,0.118,0.046,0.028,0.045,0.034,0.129,0.067,0.125,0.018,0.057,0.141,0.083,0.141,0.110,0.021,0.059,0.065,0.029,0.058,0.062,-0.017,0.102,0.062,0.111,-0.043,-0.040,0.102,0.051,-0.042,0.013,0.165,0.044,-0.003,0.155,-0.023,0.035,0.141,0.050,0.035,0.026,0.055,0.029,0.034,-0.036,-0.044,0.030,0.024,0.108,0.053,0.056,0.038,0.018,-0.095,0.222,0.104,0.046,0.169,-0.023,0.125,,,0.038,0.241,0.025,,,,-0.055,,,,
Lr,0.320,,-0.148,,-0.063,-0.055,-0.033,-0.056,-0.100,-0.039,-0.081,-0.065,-0.035,-0.055,-0.049,0.063,-0.022,-0.074,-0.083,-0.023,-0.079,0.020,-0.033,-0.082,-0.096,-0.043,-0.069,-0.009,-0.082,-0.001,-0.080,-0.070,0.007,-0.097,-0.011,-0.074,-0.115,-0.074,-0.117,-0.082,-0.075,-0.103,-0.138,-0.105,-0.056,-0.031,-0.154,-0.131,-0.016,-0.059,-0.129,-0.139,-0.018,-0.098,-0.145,-0.118,-0.139,-0.088,-0.086,-0.070,-0.120,-0.131,-0.106,-0.092,-0.089,-0.157,-0.199,-0.243,-0.135,-0.080,-0.122,-0.122,-0.068,-0.134,-0.166,-0.004,-0.118,-0.096,-0.171,-0.203,-0.105,,,-0.124,0.019,-0.070,,,,-0.159,,,,
Intercept,2.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
