U,0.113,0.104,0.045,0.030,0.040,0.035,0.035,0.034,0.035,0.035,0.040,0.029,0.036,0.041,0.041,0.041,0.034,0.050,0.058,0.054,0.049,0.046,0.035,0.053,0.040,0.057,0.049,0.062,0.042,0.058,0.048,0.056,0.041,0.053,0.043,0.058,0.055,0.055,0.069,0.051,0.066,0.061,0.094,0.057,0.109,0.112,0.118,0.335,0.219
L,-0.088,-0.091,-0.058,-0.052,-0.038,-0.050,-0.037,-0.036,-0.037,-0.039,-0.026,-0.031,-0.030,-0.052,-0.044,-0.046,-0.050,-0.045,-0.059,-0.052,-0.056,-0.047,-0.057,-0.065,-0.044,-0.060,-0.057,-0.054,-0.047,-0.050,-0.055,-0.042,-0.044,-0.062,-0.058,-0.048,-0.070,-0.068,-0.067,-0.068,-0.066,-0.060,-0.093,-0.066,-0.095,-0.098,-0.117,-0.317,-0.187
P(r-rand >= r-data),0.010,0.250,0.030,0.160,0.430,0.340,0.430,0.130,0.920,0.730,0.620,0.680,0.770,0.660,0.950,0.790,0.740,0.500,0.310,0.490,0.470,0.110,0.080,0.730,0.680,0.460,0.150,0.810,0.160,0.400,0.410,0.060,0.540,0.790,0.630,0.830,0.250,0.920,0.990,0.400,0.240,0.650,0.330,0.490,0.340,0.970,0.940,0.450,0.890
P(r-rand <= r-data),1.000,0.760,0.980,0.850,0.580,0.670,0.580,0.880,0.090,0.280,0.390,0.330,0.240,0.350,0.060,0.220,0.270,0.510,0.700,0.520,0.540,0.900,0.930,0.280,0.330,0.550,0.860,0.200,0.850,0.610,0.600,0.950,0.470,0.220,0.380,0.180,0.760,0.090,0.020,0.610,0.770,0.360,0.680,0.520,0.670,0.040,0.070,0.560,0.120
Correction,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
r uc,0.132,0.018,0.032,0.005,-0.012,-0.009,-0.012,0.006,-0.039,-0.025,-0.019,-0.028,-0.023,-0.021,-0.044,-0.032,-0.033,-0.012,-0.000,-0.014,-0.010,0.016,0.015,-0.040,-0.026,-0.012,0.014,-0.039,0.007,-0.009,-0.009,0.027,-0.018,-0.038,-0.023,-0.036,0.004,-0.061,-0.084,-0.012,0.009,-0.022,0.005,-0.017,0.010,-0.088,-0.111,0.010,-0.116
U uc,0.098,0.089,0.030,0.015,0.025,0.019,0.020,0.019,0.019,0.020,0.025,0.014,0.021,0.026,0.025,0.026,0.019,0.035,0.042,0.039,0.034,0.031,0.020,0.038,0.025,0.042,0.034,0.047,0.027,0.043,0.033,0.041,0.026,0.038,0.028,0.043,0.040,0.040,0.054,0.036,0.051,0.046,0.079,0.042,0.093,0.097,0.103,0.320,0.204
L uc,-0.103,-0.106,-0.073,-0.067,-0.053,-0.066,-0.052,-0.051,-0.053,-0.054,-0.041,-0.046,-0.045,-0.067,-0.059,-0.061,-0.065,-0.060,-0.074,-0.067,-0.071,-0.062,-0.072,-0.080,-0.059,-0.075,-0.072,-0.069,-0.062,-0.065,-0.070,-0.058,-0.060,-0.077,-0.073,-0.063,-0.085,-0.083,-0.082,-0.083,-0.081,-0.076,-0.108,-0.081,-0.110,-0.113,-0.132,-0.332,-0.202
Mean Bootstrap r,0.152,0.036,0.042,0.022,0.002,0.005,0.001,0.021,-0.016,-0.004,-0.011,-0.012,-0.008,-0.009,-0.028,-0.017,-0.016,0.002,0.021,0.003,0.003,0.027,0.030,-0.023,-0.015,0.004,0.030,-0.026,0.023,0.006,0.012,0.041,-0.002,-0.027,-0.005,-0.020,0.023,-0.044,-0.067,0.006,0.023,-0.007,0.018,0.003,0.027,-0.076,-0.092,,
Ur error,0.117,0.080,0.046,0.044,0.033,0.019,0.031,0.045,0.044,0.037,0.017,0.032,0.029,0.040,0.041,0.046,0.040,0.037,0.072,0.037,0.028,0.040,0.052,0.058,0.048,0.049,0.055,0.036,0.037,0.039,0.065,0.049,0.041,0.044,0.067,0.057,0.069,0.062,0.036,0.040,0.062,0.052,0.061,0.051,0.092,0.057,0.094,,
Lr error,0.114,0.048,0.075,0.044,0.038,0.014,0.033,0.051,0.015,0.030,0.038,0.046,0.032,0.054,0.040,0.042,0.042,0.041,0.036,0.038,0.036,0.050,0.041,0.058,0.064,0.047,0.051,0.058,0.037,0.054,0.053,0.062,0.041,0.059,0.044,0.050,0.059,0.058,0.033,0.048,0.062,0.057,0.090,0.062,0.073,0.090,0.144,,
Ur,0.264,0.114,0.093,0.064,0.036,0.026,0.035,0.066,0.020,0.027,0.013,0.019,0.021,0.034,0.012,0.029,0.023,0.040,0.087,0.038,0.034,0.071,0.082,0.034,0.037,0.052,0.084,0.012,0.060,0.046,0.072,0.092,0.039,0.021,0.059,0.035,0.089,0.016,-0.033,0.043,0.086,0.046,0.080,0.049,0.117,-0.016,-0.001,,
Lr,0.033,-0.014,-0.027,-0.024,-0.035,-0.007,-0.030,-0.030,-0.039,-0.040,-0.042,-0.059,-0.040,-0.059,-0.069,-0.060,-0.059,-0.038,-0.021,-0.037,-0.031,-0.019,-0.011,-0.082,-0.075,-0.045,-0.022,-0.082,-0.014,-0.048,-0.046,-0.019,-0.044,-0.082,-0.052,-0.071,-0.039,-0.104,-0.102,-0.045,-0.037,-0.063,-0.070,-0.064,-0.048,-0.163,-0.240,,
Intercept,16.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
