,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,12,1,2,8,21,27,27,30,43,37,35,29,50,44,51,32,29,67,43,38,41,55,39,33,33,60,25,29,24,46,36,26,24,25,25,34,20,20,32,21,27,29,21,34,34,15,11,23,29,29,21,16,24,22,25,15,20,24,18,24,19,15,20,24,37,24,13,21,19,17,18,15,14,14,24,9,13,14,12,17,9,14,10,17,6,7,12,10,4,7,7,3,1,6,1,0,3
Distance Class (End Point),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97
r,0.168,-0.084,0.021,0.037,0.067,0.033,0.013,0.027,-0.035,0.049,0.017,-0.008,-0.008,0.018,0.001,0.059,-0.029,-0.022,0.006,-0.026,0.044,-0.039,-0.033,0.012,0.024,-0.025,0.103,-0.088,-0.019,-0.033,-0.018,-0.016,0.007,-0.041,0.027,-0.014,0.051,-0.024,0.009,-0.010,-0.005,0.015,0.059,0.014,0.003,0.092,-0.003,-0.034,-0.021,-0.001,-0.016,0.029,-0.005,0.070,0.022,-0.111,0.092,-0.033,0.029,-0.011,0.024,-0.016,0.083,0.009,-0.016,0.019,-0.030,-0.019,-0.005,-0.011,-0.034,-0.006,-0.040,0.092,0.002,-0.176,-0.109,-0.035,0.031,-0.011,0.143,-0.045,-0.032,0.013,0.111,-0.043,0.060,-0.087,0.125,-0.016,-0.108,-0.010,-0.057,-0.101,0.025,0.015,-0.101
U,0.130,0.332,0.222,0.123,0.069,0.065,0.064,0.053,0.044,0.055,0.051,0.058,0.040,0.055,0.053,0.056,0.055,0.038,0.052,0.050,0.046,0.036,0.050,0.059,0.058,0.039,0.065,0.053,0.069,0.055,0.054,0.060,0.068,0.080,0.054,0.060,0.075,0.063,0.079,0.071,0.077,0.055,0.062,0.054,0.058,0.094,0.102,0.075,0.046,0.070,0.066,0.077,0.075,0.071,0.054,0.105,0.098,0.045,0.068,0.078,0.070,0.078,0.080,0.075,0.054,0.070,0.080,0.066,0.071,0.079,0.066,0.069,0.098,0.076,0.060,0.099,0.104,0.074,0.092,0.062,0.138,0.084,0.104,0.078,0.160,0.107,0.099,0.105,0.181,0.155,0.111,0.217,0.341,0.162,0.343,0.015,0.226
L,-0.107,-0.275,-0.239,-0.126,-0.070,-0.043,-0.057,-0.065,-0.051,-0.066,-0.057,-0.045,-0.048,-0.049,-0.042,-0.057,-0.057,-0.048,-0.043,-0.050,-0.050,-0.045,-0.054,-0.064,-0.059,-0.045,-0.068,-0.069,-0.053,-0.072,-0.065,-0.052,-0.061,-0.063,-0.062,-0.056,-0.069,-0.078,-0.061,-0.081,-0.062,-0.057,-0.065,-0.044,-0.060,-0.082,-0.099,-0.065,-0.051,-0.061,-0.088,-0.082,-0.053,-0.084,-0.072,-0.090,-0.058,-0.084,-0.085,-0.062,-0.058,-0.092,-0.076,-0.066,-0.065,-0.073,-0.110,-0.054,-0.076,-0.059,-0.073,-0.070,-0.070,-0.094,-0.066,-0.125,-0.093,-0.104,-0.102,-0.085,-0.084,-0.073,-0.105,-0.080,-0.125,-0.120,-0.075,-0.092,-0.131,-0.128,-0.105,-0.193,-0.325,-0.130,-0.287,0.015,-0.192
P(r-rand >= r-data),0.010,0.720,0.400,0.250,0.040,0.140,0.430,0.260,0.860,0.070,0.250,0.640,0.550,0.350,0.520,0.030,0.840,0.830,0.410,0.850,0.040,0.960,0.870,0.410,0.260,0.860,0.010,1.000,0.730,0.900,0.630,0.690,0.380,0.920,0.170,0.690,0.110,0.700,0.420,0.520,0.500,0.320,0.040,0.330,0.360,0.040,0.550,0.850,0.800,0.440,0.610,0.290,0.590,0.040,0.200,1.000,0.040,0.790,0.220,0.600,0.340,0.580,0.030,0.350,0.700,0.340,0.720,0.660,0.600,0.650,0.820,0.570,0.860,0.010,0.470,1.000,1.000,0.760,0.280,0.540,0.020,0.860,0.690,0.400,0.110,0.780,0.090,0.960,0.110,0.580,0.990,0.490,0.590,0.930,0.440,1.000,0.840
P(r-rand <= r-data),1.000,0.290,0.610,0.760,0.970,0.870,0.580,0.750,0.150,0.940,0.760,0.370,0.460,0.660,0.490,0.980,0.170,0.180,0.600,0.160,0.970,0.050,0.140,0.600,0.750,0.150,1.000,0.010,0.280,0.110,0.380,0.320,0.630,0.090,0.840,0.320,0.900,0.310,0.590,0.490,0.510,0.690,0.970,0.680,0.650,0.970,0.460,0.160,0.210,0.570,0.400,0.720,0.420,0.970,0.810,0.010,0.970,0.220,0.790,0.410,0.670,0.430,0.980,0.660,0.310,0.670,0.290,0.350,0.410,0.360,0.190,0.440,0.150,1.000,0.540,0.010,0.010,0.250,0.730,0.470,0.990,0.150,0.320,0.610,0.900,0.230,0.920,0.050,0.900,0.430,0.020,0.520,0.420,0.080,0.570,1.000,0.170
Correction,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015,0.015
r uc,0.153,-0.099,0.006,0.022,0.052,0.018,-0.002,0.012,-0.050,0.033,0.002,-0.023,-0.023,0.003,-0.014,0.044,-0.044,-0.037,-0.009,-0.041,0.029,-0.055,-0.048,-0.003,0.009,-0.040,0.088,-0.104,-0.034,-0.049,-0.033,-0.031,-0.008,-0.056,0.011,-0.030,0.036,-0.039,-0.006,-0.026,-0.020,-0.000,0.044,-0.001,-0.012,0.077,-0.019,-0.049,-0.036,-0.016,-0.031,0.013,-0.020,0.055,0.007,-0.127,0.077,-0.048,0.014,-0.026,0.009,-0.031,0.067,-0.006,-0.031,0.004,-0.045,-0.034,-0.020,-0.026,-0.049,-0.022,-0.055,0.077,-0.014,-0.191,-0.124,-0.050,0.015,-0.027,0.128,-0.060,-0.048,-0.002,0.096,-0.058,0.045,-0.102,0.109,-0.031,-0.123,-0.025,-0.072,-0.116,0.010,0.000,-0.116
U uc,0.114,0.317,0.207,0.107,0.054,0.049,0.049,0.038,0.029,0.040,0.036,0.043,0.025,0.039,0.038,0.041,0.040,0.023,0.037,0.035,0.031,0.021,0.035,0.044,0.043,0.024,0.050,0.038,0.054,0.040,0.039,0.045,0.052,0.064,0.039,0.044,0.060,0.048,0.064,0.056,0.062,0.040,0.047,0.038,0.043,0.079,0.087,0.060,0.031,0.055,0.051,0.062,0.060,0.056,0.039,0.090,0.083,0.030,0.052,0.063,0.055,0.063,0.065,0.060,0.039,0.055,0.064,0.051,0.056,0.063,0.051,0.054,0.083,0.061,0.044,0.084,0.089,0.059,0.077,0.047,0.123,0.069,0.089,0.063,0.145,0.092,0.084,0.090,0.165,0.140,0.096,0.202,0.326,0.147,0.327,0.000,0.211
L uc,-0.122,-0.290,-0.254,-0.141,-0.085,-0.058,-0.073,-0.080,-0.066,-0.081,-0.072,-0.061,-0.063,-0.064,-0.057,-0.072,-0.073,-0.063,-0.059,-0.065,-0.065,-0.061,-0.069,-0.079,-0.074,-0.060,-0.083,-0.084,-0.068,-0.087,-0.080,-0.068,-0.076,-0.078,-0.077,-0.072,-0.085,-0.093,-0.076,-0.096,-0.077,-0.072,-0.080,-0.059,-0.075,-0.098,-0.115,-0.080,-0.066,-0.076,-0.103,-0.097,-0.069,-0.099,-0.088,-0.105,-0.073,-0.099,-0.100,-0.077,-0.073,-0.107,-0.091,-0.081,-0.080,-0.088,-0.125,-0.070,-0.091,-0.074,-0.088,-0.085,-0.085,-0.109,-0.081,-0.140,-0.108,-0.119,-0.118,-0.100,-0.099,-0.088,-0.121,-0.096,-0.140,-0.135,-0.090,-0.107,-0.146,-0.143,-0.120,-0.208,-0.340,-0.145,-0.302,0.000,-0.207
Mean Bootstrap r,0.175,,,0.027,0.066,0.034,0.015,0.029,-0.036,0.049,0.015,-0.007,-0.009,0.014,0.005,0.072,-0.027,-0.020,0.005,-0.023,0.044,-0.038,-0.030,0.008,0.029,-0.025,0.105,-0.091,-0.011,-0.031,-0.019,-0.016,0.008,-0.040,0.028,-0.013,0.047,-0.023,0.001,-0.011,-0.004,0.018,0.061,0.015,0.007,0.088,-0.002,-0.034,-0.025,-0.004,-0.020,0.025,-0.003,0.072,0.027,-0.108,0.087,-0.025,0.027,-0.018,0.021,-0.015,0.083,0.005,-0.016,0.020,-0.032,-0.020,-0.010,-0.012,-0.032,-0.001,-0.041,0.083,0.003,-0.174,-0.106,-0.036,0.035,-0.012,0.138,-0.046,-0.033,0.015,0.115,-0.042,0.062,-0.090,,-0.019,-0.105,,,-0.102,,,
Ur error,0.108,,,0.072,0.062,0.072,0.062,0.066,0.037,0.054,0.049,0.045,0.036,0.068,0.073,0.065,0.049,0.039,0.053,0.043,0.081,0.042,0.052,0.047,0.051,0.039,0.085,0.032,0.057,0.049,0.062,0.052,0.051,0.050,0.070,0.067,0.073,0.066,0.026,0.053,0.044,0.061,0.084,0.059,0.052,0.091,0.109,0.065,0.058,0.082,0.059,0.059,0.062,0.061,0.058,0.076,0.059,0.043,0.070,0.050,0.089,0.081,0.050,0.054,0.042,0.079,0.073,0.059,0.067,0.081,0.073,0.064,0.072,0.101,0.037,0.060,0.051,0.051,0.065,0.064,0.089,0.060,0.058,0.069,0.117,0.069,0.076,0.063,,0.070,0.086,,,0.116,,,
Lr error,0.094,,,0.077,0.071,0.063,0.069,0.045,0.049,0.061,0.054,0.047,0.039,0.054,0.053,0.036,0.053,0.044,0.061,0.047,0.068,0.045,0.048,0.055,0.056,0.053,0.114,0.055,0.038,0.057,0.073,0.042,0.069,0.043,0.065,0.068,0.078,0.052,0.045,0.085,0.062,0.043,0.083,0.070,0.048,0.082,0.090,0.068,0.067,0.063,0.067,0.049,0.049,0.068,0.054,0.069,0.079,0.043,0.069,0.067,0.114,0.070,0.076,0.087,0.052,0.101,0.073,0.060,0.083,0.109,0.081,0.056,0.064,0.105,0.054,0.051,0.060,0.055,0.076,0.051,0.099,0.075,0.047,0.070,0.094,0.075,0.065,0.110,,0.111,0.111,,,0.139,,,
Ur,0.276,,,0.109,0.129,0.105,0.075,0.093,0.003,0.102,0.066,0.037,0.028,0.086,0.074,0.124,0.020,0.017,0.059,0.016,0.125,0.002,0.020,0.059,0.076,0.014,0.188,-0.056,0.039,0.016,0.044,0.036,0.059,0.009,0.096,0.053,0.124,0.042,0.035,0.043,0.039,0.076,0.143,0.073,0.055,0.184,0.106,0.032,0.037,0.081,0.043,0.087,0.057,0.131,0.080,-0.035,0.151,0.010,0.099,0.039,0.113,0.065,0.133,0.063,0.027,0.099,0.044,0.040,0.062,0.069,0.039,0.058,0.032,0.193,0.038,-0.116,-0.057,0.016,0.096,0.053,0.232,0.015,0.026,0.082,0.228,0.027,0.136,-0.024,,0.054,-0.022,,,0.014,,,
Lr,0.074,,,-0.040,-0.004,-0.030,-0.056,-0.018,-0.084,-0.012,-0.037,-0.054,-0.048,-0.037,-0.052,0.023,-0.082,-0.066,-0.055,-0.074,-0.024,-0.085,-0.081,-0.043,-0.032,-0.078,-0.011,-0.144,-0.057,-0.091,-0.091,-0.057,-0.062,-0.083,-0.039,-0.082,-0.027,-0.076,-0.037,-0.095,-0.068,-0.028,-0.024,-0.056,-0.045,0.011,-0.094,-0.101,-0.088,-0.064,-0.083,-0.021,-0.054,0.002,-0.032,-0.181,0.012,-0.076,-0.040,-0.077,-0.090,-0.086,0.007,-0.078,-0.068,-0.082,-0.103,-0.079,-0.087,-0.121,-0.115,-0.063,-0.105,-0.012,-0.053,-0.227,-0.168,-0.090,-0.046,-0.062,0.044,-0.120,-0.079,-0.057,0.017,-0.117,-0.005,-0.197,,-0.128,-0.219,,,-0.240,,,
Intercept,1.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"r, U and L values are adjusted by the correction factor.  Uncorrected values are shown as r uc, U uc, L uc.  Bootstrap mean, Ur, Lr are also adjusted by the correction factor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (Ur error) and lower (Lr error) error bars bound the 95% confidence interval about r as determined by bootstrap resampling.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper (U) and lower (L) confidence limits bound the 95% confidence interval about the null hypothesis of No spatial structure for the combined data set as determined by permutation.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
